fold,model,feature
1,EBM,yield_curve
1,EBM,zscore_20
1,EBM,return_5d
1,EBM,oil
1,EBM,drawdown
1,EBM,trend_strength
1,EBM,retail_sales_percent
1,EBM,sector_XLK
1,EBM,vix
1,EBM,vol_regime
1,LGBM,yield_curve
1,LGBM,zscore_20
1,LGBM,return_5d
1,LGBM,oil
1,LGBM,drawdown
1,LGBM,trend_strength
1,LGBM,retail_sales_percent
1,LGBM,sector_XLK
1,LGBM,vix
1,LGBM,vol_regime
2,EBM,zscore_20
2,EBM,yield_curve
2,EBM,drawdown
2,EBM,return_5d
2,EBM,retail_sales_percent
2,EBM,trend_strength
2,EBM,sector_XLK
2,EBM,vix
2,EBM,vol_regime
2,EBM,oil
2,LGBM,zscore_20
2,LGBM,yield_curve
2,LGBM,drawdown
2,LGBM,return_5d
2,LGBM,retail_sales_percent
2,LGBM,trend_strength
2,LGBM,sector_XLK
2,LGBM,vix
2,LGBM,vol_regime
2,LGBM,oil
3,EBM,zscore_20
3,EBM,yield_curve
3,EBM,drawdown
3,EBM,return_5d
3,EBM,trend_strength
3,EBM,vix
3,EBM,retail_sales_percent
3,EBM,sector_XLK
3,EBM,oil
3,EBM,vol_regime
3,EBM,volatility_20
3,EBM,inflacion
3,LGBM,zscore_20
3,LGBM,yield_curve
3,LGBM,drawdown
3,LGBM,return_5d
3,LGBM,trend_strength
3,LGBM,vix
3,LGBM,retail_sales_percent
3,LGBM,sector_XLK
3,LGBM,oil
3,LGBM,vol_regime
3,LGBM,volatility_20
3,LGBM,inflacion
4,EBM,zscore_20
4,EBM,yield_curve
4,EBM,vix
4,EBM,return_5d
4,EBM,drawdown
4,EBM,retail_sales_percent
4,EBM,trend_strength
4,EBM,vol_regime
4,EBM,oil
4,EBM,sector_XLK
4,EBM,volatility_20
4,LGBM,zscore_20
4,LGBM,yield_curve
4,LGBM,vix
4,LGBM,return_5d
4,LGBM,drawdown
4,LGBM,retail_sales_percent
4,LGBM,trend_strength
4,LGBM,vol_regime
4,LGBM,oil
4,LGBM,sector_XLK
4,LGBM,volatility_20
5,EBM,zscore_20
5,EBM,yield_curve
5,EBM,return_5d
5,EBM,vix
5,EBM,drawdown
5,EBM,retail_sales_percent
5,EBM,trend_strength
5,EBM,oil
5,EBM,volatility_20
5,EBM,vol_regime
5,EBM,sector_XLK
5,LGBM,zscore_20
5,LGBM,yield_curve
5,LGBM,return_5d
5,LGBM,vix
5,LGBM,drawdown
5,LGBM,retail_sales_percent
5,LGBM,trend_strength
5,LGBM,oil
5,LGBM,volatility_20
5,LGBM,vol_regime
5,LGBM,sector_XLK
6,EBM,zscore_20
6,EBM,atr_14
6,EBM,yield_curve
6,EBM,return_5d
6,EBM,oil
6,EBM,leading
6,EBM,drawdown
6,EBM,trend_strength
6,EBM,retail_sales_percent
6,EBM,vol_regime
6,EBM,vixoil
6,EBM,sector_XLK
6,LGBM,zscore_20
6,LGBM,atr_14
6,LGBM,yield_curve
6,LGBM,return_5d
6,LGBM,oil
6,LGBM,leading
6,LGBM,drawdown
6,LGBM,trend_strength
6,LGBM,retail_sales_percent
6,LGBM,vol_regime
6,LGBM,vixoil
6,LGBM,sector_XLK
